title,content,link
Philippine budget process: Everything you need to know,"Budget preparation The Philippine Constitution requires the submission of the President’s budget 30 days from the opening of each regular session of Congress. The first steps of the annual budget preparation begins with the determination of the overall economic targets, expenditure levels, revenue projection, and the financing plan by the Development Budget Coordinating Committee (DBCC). Following this, the DBM will issue a Budget Call, which defines the budget framework; sets economic and fiscal targets; prescribes the priority thrusts and budget levels; and spells out the guidelines and procedures, technical instructions, and the timetable for budget preparation. The various government agencies will then prepare their respective detailed budget estimates that rank programs, projects, and activities using the capital budgeting approach and submit these to the DBM. Budget hearings are then conducted, where agencies justify their proposed budgets before the DBM technical panels. After the submission of proposed expenditure programs by the respective agencies, and the subsequent approval by the DBCC, the proposed budget is reviewed and approved by the President and the Cabinet. Finally, the President submits the proposed budget to Congress. Budget authorization The President submits his proposed annual budget to Congress in the following documents: Budget of Expenditure and Sources of Financing (BESF) National Expenditure Program (NEP), containing the details of proposed expenditures President’s Budget Message, summarizing the budget policy thrusts and priorities for the year Article VI, Section 24, of the 1987 Philippine Constitutions provides for Congress’ authority for “all appropriation, revenue or tariff bills, bills authorizing increase of the public debt, bills of local application, and private bills,” which is why Congress is often considered as having the “power of the purse.” The House of Representatives is first to review the proposed budget. Budget hearings for each department or agency are held by the appropriations committee together with the respective House subcommittees to scrutinize the details of the proposed programs and projects. The House’s amendments are reflected in its General Appropriations Bill approved by the House body. While these hearings are taking place in the House, the Senate finance committee, along with its different subcommittees, will simultaneously conduct its own hearings on the proposed budget and submit its own amendments as well. The role of the Senate is to propose or concur with amendments to the General Appropriations Bill passed by the House. A Senate General Appropriations Bill reflecting amendments is approved by the Senate body. Any differences in the respective bills are threshed out by a bicameral conference committee, which is composed of members from both the House and the Senate. A common, harmonized version is finalized as the General Appropriations Bill (GAB). Once the GAB is finalized and approved by Congress, the President signs and enacts it into law as the General Appropriations Act for that fiscal year. The 1987 Constitution provides that “If, by the end of any fiscal year, the Congress shall have failed to pass the general appropriations bill for the ensuing fiscal year, the general appropriations law for the preceding fiscal year shall be deemed reenacted and shall remain in force and effect until the general appropriations bill is passed by the Congress.” Important budget documents Throughout the budget process, the details of the proposed programs and expenditure amounts are published and can be found on the website of the Department of Budget and Management:https://dbm.gov.ph/. The primary sources of budget data presented in this report were obtained from the following documents: – Right to Know, Right Now! (R2KRN) Coalition/Rappler.com This piece isrepublished with permissionfrom the Action for Economic Reforms and the Right to Know, Right Now! (R2KRN) Coalition.The R2KRN Coalition is a network of advocates campaigning for the passage of the Freedom of Information law and the promotion of FOI practice in the country.",https://www.rappler.com/newsbreak/explainers/things-to-know-budget-process-philippines/
2025 budget ‘blanks’: Billions involved in DA adjustments after ratification,"There were also increases, the most notable of which was the funding for the National Fisheries Program. The budget approved by the House worth P6.272 billion was changed to blank in the bicam, yet when the President signed the GAA, an additional P2.298 billion was allocated to the program. The adjustments, based on Rappler’s research, are summarized below. What’s the issue? The budget cycle every year is continuous. The executive branch led by the Department of Budget and Management prepares the National Expenditure Program (NEP), which is the President’s proposed budget that will be the subject of congressional approval. The House receives the NEP, which becomes the basis of the General Appropriations Bill. After the House passes the spending bill, it sends the GAB to the Senate, which passes its own version. Select members of both chambers convene to harmonize disagreeing provisions of their own drafts through the bicameral conference committee. Once the said committee reconciles the differences, they sign a report which contains the said amendments, ratified separately by both chambers. This is now the final version of the budget, and the House prints an enrolled copy sent to Malacañang for the President’s signature. The adjustments discovered, however, raise various questions: When were the blanks on the bicameral conference committee report filled out? Who was responsible for filling out the blanks on the bicameral conference committee report, since the copy signed by the President already had values indicated in the blanks? How were the budget cuts and bumps decided upon if the bicameral conference committee members signed a report that contained blanks? Davao City 3rd District Representative Isidro Ungab, who was once chairperson of the appropriations committee, first flagged the blanks during a podcast streamed on the Facebook page of Davao City Mayor Sebastian Duterte on Saturday, January 18. Former president Rodrigo Duterte, who was a guest on his son’s online show, claimed that this made the 2025 budget invalid. President Marcos fired back at his predecessor on Monday, January 20,accusing Duterte of lying, and insisted that the General Appropriations Act did not contain blanks. The GAA,according to the Office of the Ombudsman, “covers the annual operating requirements of agencies of government” and is “the most comprehensive source of appropriation cover for the budget of the government.” While Marcos’ statement is true, it does not directly debunk Ungab’s statement, since the latter was referring to the blanks on the bicameral conference committee report. Kabataan Representative Raoul Manuel later echoed Ungab’s concerns, confirming on Wednesday, January 22, that the blanks were contained in the report disseminated to the House members on December 11, 2024, just minutes before the plenary voted on its ratification. “Every item in the budget, before it is proposed, before it is submitted, before it is approved by whoever, there should be a number. So the existence of blanks on the budget of the Department of Agriculture is a valid issue,” budget expert Zy-za Suzara said in an interview onFacts First Tonightwith Christian Esguerra on Monday, January 20. “We don’t know of course what the reason is because there’s no transparency in the bicam,” she said, referring to the closed-door nature of the deliberations. Constitutional question? Some sectors have suggested raising this budget’s constitutionality issues with the courts, but former congressman and budget secretary Butch Abad has doubts these would prosper. Abad told Rappler he had never encountered the issue of blanks in the bicam report during his time as a lawmaker, as well as during his six-year stint preparing then-president Benigno Aquino III’s budget. He doubts that issues of legality this time around will prosper in courts. “There is a such thing as doctrine of enrolled bill, which states that an enrolled bill is conclusively presumed enacted in accordance with the procedural constitutional requirements. And if you’re looking for evidence to question that, there is no other evidence beyond the enrolled bill itself,” Abad said. The Supreme Court will no longer interfere if the House or the Senate followed their internal rules of procedure. I think that flows from the principle of independence of branches,” he added. Rappler has reached out to Ako Bicol Representative Zaldy Co and Senator Grace Poe, who headed their chamber’s delegations in the bicam, for clarity, but has yet to receive a response. Poe, in an ambush interview with GMA News on Thursday, January 23, said: “I don’t see any problem [with the bicam report]… When we completed the bicam report and we submitted it as an enrolled bill, it was complete.” –Rappler.com Error.",https://www.rappler.com/newsbreak/data-documents/philippine-budget-2025-blanks-adjustments-after-ratification/
Claims of blank items in 2025 budget bicam report misleading,"I have recently encountered a plethora of comments, opinions, and news articles across different media outlets, social media platforms, and bloggers’ channels discussing the alleged blank items in the 2025 national budget. What specifically do they mean by “blank items”? As outlined in Rule XII, Section 34 of the Senate Rules, the Senate President appoints members of the Senate panel in the conference committee, known as conferees. The authority granted to Senate conferees is focused on resolving disagreements between the two chambers. They are not permitted to remove provisions or language that have been agreed upon by both the House of Representatives and the Senate to introduce entirely new provisions. However, conferees do have a significant degree of flexibility, except in cases where the disagreements are very specific. Once an agreement is reached on a bill, the conference committee staff will draft a conference report. The report details the modifications made and provides explanations for each side’s decisions. The report is then presented to the floor for approval. Final approval of the bill is achieved when both houses agree on the conference report, along with any amendments made to resolve disagreements.  Upon closer examination, I realized that the term “blank items” was likely being misapplied to the bicameral report. I believe that the concerns about “blank items” actually pertain to the General Appropriations bill (GAB), which is attached to the bicameral report. The GAB is the proposed law that outlines the government’s budget for a specific fiscal year, and certain provisions within the bill may have been left unspecified or “blank.” The bicameral report, on the other hand, contains the findings and recommendations of the bicameral conference committee regarding the GAB.  The bicameral report, GAB, and General Appropriations Act (GAA) are integral components of the budgeting process. The GAB is deliberated upon by both the House of Representatives and the Senate, with each chamber providing input and suggestions to ensure that the bill aligns with their respective priorities and concerns. Once the House and Senate reach an agreement on the GAB, a bicameral conference committee is convened to iron out any remaining differences and finalize the bill. The committee is composed of representatives from both the House and Senate. The bicameral report, which contains the committee’s findings and recommendations regarding the GAB, is then produced. Simply put, the bicameral report is a comprehensive document that outlines the agreed-upon provisions, allocations, and amendments to the GAB. This report is the culmination of the bicameral conference committee’s deliberations and negotiations, and provides a detailed account of the committee’s findings and recommendations. As such, the bicameral report is not intended to contain “blank items” or unspecified provisions, except when it refers to the GAB itself. Any claims of “blank items” in the bicameral report are likely misinformed or misleading, and may be referring to the GAB instead. The bicameral report, along with the attached copy of the GAB, is typically reported to both the Senate and the House of Representatives for approval. Once both chambers have approved the bicameral report, the GAB is enacted into law, and then signed by the President, becoming the GAA. One of the most important questions to consider is whether the bicameral report along with the attached reviewed appropriation bill has been submitted to both houses for approval. If this has been done, it is unlikely that there will be any blank items in the appropriation bill. However, if this has not been completed, then the situation must be addressed differently.  It is concerning that lawmakers, especially those involved in reviewing the GAB and drafting the bicameral report, have differing opinions on the issue of blank items. REGINALD B. TAMAYO, Marikina City",https://opinion.inquirer.net/180508/claims-of-blank-items-in-2025-budget-bicam-report-misleading/amp
Senate receives copy of General Appropriations Bill from House,"MANILA, Philippines — The Senate formally received on Thursday a copy of the 2025 General Appropriations Bill (GAB) from the House of Representatives. The 2025 GAB, which contains the proposed national budget for next year, was submitted by a House personnel to the Senate’s Legislative Bills and Index Service staff. Copies of the 2025 GAB submitted by a personnel from the House of Representatives to the Senate on October 24. (Senate PRIB The submission was carried out despite the cancellation of work in both chambers of Congress in light of the inclement weather brought about by severe tropical storm Kristine (international name: Trami). Earlier, Senate President Chiz Escudero said he sees the approval of the 2025 GAB by the first or second week of December. A House personnel physically submits the copies of the 2025 GAB to a Senate Legislative Bills and Index Service staff. (Photo courtesy of Senate PRIB) He said the chamber is on track to finish the committee deliberations of some agencies’ budgets,  based on his discussion with  Sen. Grace Poe, who heads the Senate finance committee. The proposed2025 national budget amounts to P6.352-trillion. The figure is a 10.1 percent increase from the current national budget of P5.768 trillion, as the Department of Budget and Management had also earlier projected.",https://newsinfo.inquirer.net/1996770/senate-receives-general-appropriations-bill-from-house
Makabayan wants bicam to convene again to address budget issues,"France Castro —House of Representatives/Facebook France Castro —House of Representatives/Facebook MANILA, Philippines — The bicameral conference committee that finalized the proposed 2025 national budget must reconvene again to address alleged allocation issues, lawmakers from the House of Representatives Makabayan bloc said on Monday. In a statement, Makabayan bloc members — ACT Teachers party-list Rep. France Castro, Gabriela party-list Rep. Arlene Brosas, and Kabataan party-list Rep. Raoul Manuel — said that the 2025 General Appropriations Bill (GAB) appears to be mismanaged because allocation for key social programs has been slashed. “The approved budget not only slashes critical funding for social services but also bloats discretionary funds and pork barrel allotments, prioritizing the ambitions of the political elite over the needs of ordinary Filipinos.  The bicameral committee’s deliberation despite being televised, was riddled with opacity. The public was kept in the dark about the specific amendments, their justifications, and their impacts on urgent social services,” the Makabayan bloc said. “We call on the House and Senate leadership to address the growing public outcry by immediately recalling the ratified General Appropriations Bill and reconvening the bicameral conference committee.  The bicam must restore the slashed budgets for social services and remove all pork barrel allotments in infrastructure projects. This should be done under full public transparency, with proceedings broadcast live for the Filipino people to witness,” they added. Among the points in the GAB raised by the Makabayan bloc include the following: “The bicameral report also retains the questionable AKAP program. Together with other politicized social safety net funds, this is a thinly veiled attempt to legalize “ayuda politics” for the 2025 elections, routing public funds through politicians to enable massive vote-buying disguised as financial assistance. Such a move not only undermines the integrity of elections but also turns the General Appropriations Act into a tool for electioneering,” Makabayan claims. “Despite widespread calls for accountability, President Bongbong Marcos’ P4.5 billion in confidential and intelligence funds (CIFs) was left untouched. Worse, the bicam even increased the Office of the President’s budget by an additional P5.4 billion without any transparent justification,” they added. According to the Makabayan lawmakers, it is not unprecedented to recall a bill that a bicameral conference committee has approved, as this has been done with the Magna Carta for Seafarers, when it was still a proposed measure. Last February 26, the House adopted House Concurrent Resolution No. 23, which withdrew Senate Bill No. 2221 and House Bill No. 7325 from its enrollment in Malacañang.  The withdrawal was made on the same day Marcos was supposed to sign the bills into law. “We note that reconvening a bicameral conference committee to address flaws in its report is not unprecedented. The bicam for the Magna Carta for Seafarers was reconvened three times, even after ratification, in order to address certain alleged flaws before it was signed into law by the President,” Makabayan said. “Finally, we reaffirm our stand that a genuine people’s budget must prioritize the welfare of the Filipino masses—health care, education, housing, and decent jobs—not the pockets of the powerful few. It should serve to promote genuine agrarian reform, national industrialization, and an independent foreign policy,” they added. Previously, Education Secretary Sonny Angara lamented that after the bicam came out with its committee report, DepEd suffered cuts into its proposed budget for computerization. Eventually, Angara said that Marcos has vowed to “remedy” this cut in DepEd’s budget, “President [Marcos] himself told us he will remedy this,” Angara said. READ:Angara: Marcos to remedy huge DepEd budget cut Undelivered laptops were among the issues discussed at the deliberations of DepEd’s proposed budget last September 2 — just weeks after Angara took the helm over Vice President Duterte. During the discussions, DepEd Director Ferdinand Pitagan confirmed that only P2.18 billion out of P11.36 billion funds for computers, laptops, and smart television sets — items crucial for e-learning — were spent. READ:Solons blast low budget use, non-delivery of laptops of DepEd under Sara However, members of the House’s Young Guns bloc said that agencies like the DepEd must first prove that it can disburse its budget efficiently before Congress allocates more funds for its controversial programs. Zambales 1st District Rep. Jefferson Khonghun explained that utilization rates, or the amount of funds used by an agency for a specific project, has been a consideration for Congress in crafting the proposed budget. READ:Solons: DepEd has to prove first it can disburse, use funds properly Meanwhile, Tingog party-list Rep. Jude Acidre and La Union 1st District Rep. Paolo Ortega V clarified that DepEd’s budget slash was not reflective of Angara’s performance, but of the agency’s inability to use funds efficiently.",https://newsinfo.inquirer.net/2016000/makabayan-wants-bicam-to-convene-again-to-address-budget-issues
Hontiveros rejects Duterte’s ‘blank items’ claim vs 2025 budget,"Senate Deputy Minority Leader Risa Hontiveros  (Senate Public Relations and Information Bureau) Senate Deputy Minority Leader Risa Hontiveros  (Senate Public Relations and Information Bureau) MANILA,  Philippines— Although she voted against this year’s P6.326 trillion national budget, opposition Sen. Risa Hontiveros expressed doubts Congress would pass any budget with blank items, as claimed by former president Rodrigo Duterte. This is still in response to allegations that the 2025 budget was riddled with blanks.  According to  Hontiveros, she did not sign the Congressional bicameral committee report on the budget after it scrapped theP74 billion subsidy for the Philippine Health Insurance Corp. (PhilHealth)and reduced funding for the public and education sectors. She, along with  Senate Minority  Leader  Aquilino “Koko” Pimentel  III, later voted against it when the upper chamber ratified the budget measure last  December 11, 2024. “Pero talagang hindi naman  ako makapaniwala  na magpapasa ng anumang  budget ang Kongreso ng ating Republika  na may blank di ba?” Hontiveros  said over the Radyo 630 interview on Tuesday. (But I really cannot believe that Congress would pass any budget with blanks, right?) “Ano ba ito, hindi naman ito  test na pencils up, finish or not  finish pass your paper. Taon-taon tinatapos ng Kongreso ang trabaho namin para magpasa ng budget…” she said. (What is this? This is not a test where it’s pencils up, finish or not finish, pass your paper. Every year, Congress finishes its job of passing the budget. Part of this budgetary process allows every lawmaker the freedom to vote in favor of or against any budget measure,  the senator pointed out. “Pero siguro naman  tinapos namin yung aming trabaho kaya hindi ako maniwala dyan sa sinabi  ni Duterte,”  added Hontiveros, referring to former president Rodrigo  Duterte. (But I think we finished our work, so I don’t believe what former president Duterte said.) Duterte recently criticized the 2025 budget, saying that leaving some items in the bicameral report vacant was not acceptable. The former leader’s remarksdid not sit well with President  Ferdinand “Bongbong” Marcos Jr.. “He’s lying. He’s a president. He knows that you cannot pass a GAA with a blank. He’s lying. And he’s lying because he knows perfectly well that that doesn’t ever happen,” Marcos said in an interview on  Monday. It was Davao City Rep. Isidro Ungab, former chairman of the House of Representatives’ appropriations committee, who earlier claimed that portions of the budget measure were left blank in the bicam report. Hontiveros surmised that Duterte might have been victimized by fake news. Subscribe to our daily newsletter",https://newsinfo.inquirer.net/2026756/i-dont-believe-ex-president-dutertes-claims-vs-2025-budget
Bigger problems in 2025 budget,"What’s so difficult about resolving this dragging furor over the alleged blank items in the congressional bicameral report on Republic Act No. 12116, or the General Appropriations Act (GAA) of 2025? Former president Rodrigo Duterte insists that the P6.326-trillion national budget for 2025 is invalid, based on the claim of his ally Davao City Rep. Isidro Ungab that the bicam report, which served as the basis for the GAA, had blank items in it. Calling his predecessor a liar, President Marcos challenged his critics to check the GAA on the website of the Department of Budget and Management if there were indeed blank items in it. Senate President Francis “Chiz” Escudero also denied Duterte’s claims, pointing out that there were no blank spaces in the bicam report that he signed. But Sen. Imee Marcos, the president’s elder sister, said the presence of blank items in the bicam report was one of the reasons she did not sign it. Senate Deputy Minority Leader Risa Hontiveros, who did not sign the bicam report nor voted for its ratification because of objectionable cuts to education programs and the defunding of the Philippine Health Insurance Corp.’s (PhilHealth), however, said she did not see any blank lines in the working drafts of the measure. The simple solution to resolving this controversy, as former senator Panfilo Lacson suggested, is to compare the bicam report ratified by both houses of Congress and the enrolled bill that was printed by the House of Representatives and submitted to Mr. Marcos for signing into law. Only such an exercise will clear this “he said, she said” situation and end this brouhaha. Lawmakers and the executive branch can then focus on the more pressing and substantial issues surrounding the 2025 national budget. On Jan. 31, members of the Clergy and Citizens for Good Governance (CCGG) have scheduled an “indignation concert and rally” at the Edsa Shrine to show their dissatisfaction with the 2025 GAA, which they branded as an “election budget and the worst budget in Philippine history.” CCGG claims the rally is backed by 12 Catholic bishops, three evangelical bishops and 230 priests, as well as “hundreds of military and uniformed personnel,” and 54 other civil society groups and youth organizations. Expected to attend are retired Supreme Court senior associate Justice Antonio Carpio, former information and communications technology undersecretary Eliseo Rio Jr., former presidential adviser Ronald Llamas, former finance undersecretary Cielo Magno, and former commission on audit commissioner Heidi Mendoza. “The main issue of the rally is the 2025 GAA, which is riddled with pork barrel, the zero subsidy for PhilHealth, and zero budget for DepEd’s (Department of Education) computerization program,” Carpio said in a radio interview. In a statement posted on social media, CCGG said it rejects the 2025 national budget because it allegedly promotes the interests of politicians and betrays the welfare of the Filipino people. It cited the defunding of PhilHealth purportedly to force Filipinos to beg for financial medical assistance from politicians; the slashing of the budget of the Pantawid Pamilyang Pilipino Program assistance project in favor of “ayuda” politics; the reduction in the budget for public transportation and the deprioritization of the Armed Forces of the Philippines modernization program, as well as the defunding of priority infrastructure projects and the placing the money under unprogrammed appropriations. The group said the GAA also undermined education by reducing the budget for many of its programs. All these, it argued, resulted in a violation of the Constitution that mandates the primacy of education in favor of pork barrel under the guise of critical public works projects. In the statement, CCGG called on the Supreme Court to rule on the constitutionality of the 2025 GAA; on Congress to repeal it and to rectify its flaws and enact a people’s budget by strengthening education, public health, and critical infrastructures, and defunding noncritical public works projects that promote corruption among politicians. All these problems hounding the 2025 national budget really boil down to one issue: transparency. As CCGG sums it: “We call for genuine transparency, full disclosure and accountability in all public acts on budget legislation, specifically the acts of the bicameral conference committee, and the utilization by the government.”",https://opinion.inquirer.net/180352/bigger-problems-in-2025-budget
Overhauling the 2025 GAA,"If it is any indication that the 2025 General Appropriations Act (GAA) badly mangled this year’s National Expenditure Program (NEP), President Ferdinand “Bongbong” Marcos Jr. (PBBM) convened another budget meeting at Malacañan Palace last Monday (Jan. 13). On his first working day after the New Year, PBBM summoned to Malacañang Department of Budget and Management (DBM) Secretary Amenah Pangandaman for a briefing on the revisions done on the 2025 GAA. The Chief Executive initially went through the voluminous copies of the printed 2025 budget bill with a fine-toothed comb before he signed it into law on Dec. 30 last year. The President was assisted by Executive Secretary Lucas Bersamin and the economic team led by Pangandaman. They went over the constitutional, legal and socio-economic issues and controversies arising from the “insertions” and realignments that got into the Congress-approved 2025 budget bill. At the end of this initial Palace vetting process, PBBM vetoed a whopping P194 billion from the Congress-approved 2025 budget that consisted mainly of new budget items that were not in the President’s NEP. From P6.352 trillion, the 2025 budget law was reduced a bit to P6.326 trillion. The bulk of vetoed items came from new items “inserted” in the 2025 GAA for the Department of Public Works and Highways (DPWH), while the Department of Transportation (DOTr) suffered the biggest cut. Then again last Tuesday (Jan. 7), PBBM sat down with his entire Cabinet and tasked Pangandaman to explain the impact of the Congress-approved budget to their respective departments and agencies. They compared for the nth time the original submission to the 19th Congress of the NEP against the amendments done by lawmakers in the 2025 GAA. At our Kapihan sa Manila Bay last Wednesday (Jan. 8), Pangandaman explained some of the details pertaining to the “insertions” and realignments done in the 2025 GAA. The DBM chief pointed to the particular vetoed budget items that were those found inconsistent with the eight-point socio-economic agenda of the Marcos administration. So PBBM reviewed and went over so many times the fine print before and after he signed the 2025 GAA. Pangandaman disclosed to us PBBM instructed the heads of affected government agencies to reexamine the administration’s initiatives contained in the NEP but were defunded by Congress. The President, she explained, wanted agencies to focus on items critical to the socio-economic programs and restore the budget for critical projects that were not given funding by Congress. “We have to reexamine so that the programs that we wanted – that we put in the NEP – can somehow be restored,” PBBM was quoted in the official Palace statement after the 18th Cabinet meeting at Malacañang. “For the rest of the departments, I need you to give me the priorities – the things that we prioritized in the NEP that were removed in terms of budgeting, in terms of appropriations,” the President supposedly stressed. Now in the middle of his six-year term, PBBM is obviously in catch-up mode. Thus, the Chief Executive apparently would not want the administration’s programs taken in different directions other than ones he himself had set. After all these budget reviews were done, the line-item vetoes were traced to the amendments done at the bicameral conference committee (bicam). Dubbed as the “third” Congress, the bicam consolidated the differing provisions of the versions of the 2025 budget bill separately approved by the Senate and the House of Representatives. So the bicam actually crafted the final version of the 2025 GAA. Composed of an equal number of 12 senators and 12 House members, the bicam for the 2025 GAA was jointly headed by Sen. Grace Poe as chairperson of the Senate finance committee and Ako Bicol party-list Rep. Zaldy Co, as chairman of the House appropriations committee. Coming back from their month-long Christmas break, Co found himself removed as House appropriations committee chairman. When they resumed session last Monday, no less than presidential son, deputy House majority leader Ilocos Norte Rep. Sandro Marcos, presented a motion “declaring vacant” the chairmanship of the powerful House appropriations committee. Mentored on the legislative process by then House majority leader and now Speaker Martin Romualdez, the young Ilocos Norte congressman dealt the blow on Co’s fall from grace without much drama or fanfare. Hearing no objection from the floor to the motion of the President’s first-born son, the Speaker banged the gavel to signal the entire House in session approved the motion declaring “vacant” Co’s post. Co quickly sought to clarify though that he was not removed from the most coveted House committee chairmanship. According to Co, he supposedly left his post on his own volition “with a heavy heart.” His resignation, he added, was “driven by pressing health concerns” that took its toll, given the demanding role he had to play these past three years. After all, he cited, he headed this congressional body since June 2022. “I have always served at the pleasure of the majority. I am deeply honored to have been entrusted with the immense responsibility of steering the nation’s budget in service of the House of the people and the constituents we represent,” Co claimed. He extended his “heartfelt gratitude” to his House colleagues for “graciously accepting my decision to step down.” But there was not even a shedding of crocodile tears from Rep. Co’s fellow House members. The next day, in fact, the House leadership designated Marikina City Rep. Stella Quimbo as “acting” chairperson of the House appropriations committee. Billed as one of the resident economists of the 19th Congress, Quimbo is one of the senior vice chairpersons of Co in the same committee that has no more budget bill-related matters to take up. She is one of the lawmakers running in the May 12 national and local elections. Congress goes on recess on Feb. 7 for the campaign period. While the legislative body has the power of the purse, our Constitution though allows the Chief Executive to overhaul the Congress-approved budget without increasing or restoring cuts.",https://www.philstar.com/opinion/2025/01/15/2414208/overhauling-2025-gaa
P4.23 trillion released from 2025 budget,"MANILA, Philippines — Nearly 70 percent or P4.23 trillion of the record P6.326-trillion budget for 2025 has been released as the government ramps up the implementation of various programs, according to the Department of Budget and Management. Latest data from the DBM showed that the agency has released a total of P4.23 trillion of the 2025 budget as of end-February, representing 67 percent of the total allocation for the year. However, the amount is lower than the 79.3 percent in budget releases in the same period last year. Data showed that the DBM released P2.98 trillion under the 2025 General Appropriations Act (GAA). The amount is 70.6 percent of the total P4.22 trillion financing. Under the 2025 GAA, the DBM said it has distributed 76 percent or P2.81 trillion of the P3.69 trillion for departments. In terms of special purpose funds, releases amounted to  P173.54 billion, equivalent to 33 percent of the P529.6 billion allocation. On the other hand, automatic appropriations are at nearly 60 percent or P1.23 trillion of the P2.11 trillion aggregate funding. Broken down, the government finally released allocation for the tax expenditure fund at P9.43 billion, or 65 percent of the P14.5 billion allocation in February. Similarly, the DBM used up the entire P27.35 billion in the special account in the general fund, from just 12.6 percent in releases in January. Last month, the DBM likewise disbursed the complete P480,000 allocation for the pension of former presidents or their widows. For two months now, the DBM has yet to release any amount from the P848.03 billion for interest payments, as well as the P28.7 billion for net lending. As early as January, the agency had released the entire P1.03 trillion for the national tax allotment and the full P83.42 billion for the block grant. The DBM also freed up the entire P68.55 billion in retirement and life insurance premiums of state workers in January and added some P5.61 billion in extra funds last month. Further, the DBM recorded P25.68 billion in other releases as of February, 87 percent or P22.4 billion of which went to other automatic appropriations. There was also P1.1 billion released for unprogrammed appropriations. Unprogrammed appropriations provide standby authority to incur additional agency obligations for priority programs or projects when revenue collection exceeds targets or when additional grants or foreign funds are generated. The entire P1.1 billion was allocated to support the foreign-assisted projects of the Metropolitan Manila Development Authority.",https://www.philstar.com/business/2025/03/15/2428412/p423-trillion-released-2025-budget
"Senate must have safeguard vs unconstitutional items in 2025 budget, says lawmaker","MANILA, Philippines — Opposition lawmaker Sen. Risa Hontiveros said the Senate must include safeguards in the 2025 budget to prevent items from being deemed unconstitutional. During the Senate’s plenary session on the 2025 National Expenditure Program on Wednesday, November 7, Hontiveros posed a challenge to Sen. Grace Poe, the 2025’s budget sponsor and the Chair of the Senate Committee on Finance. “If we consider the possible constitutional breach of the GAA (General Appropriations Act), programmed and unprogrammed, that exceeds the NEP, is it possible that the sponsor and the Chair of the Finance Committee to make a resolution, and a general provision that the principle of the GAA not exceeding the NEP (National Expenditure Program) will be followed?” Hontiveros said in Filipino. The NEP is the executive branch’s proposed version of the national budget. It then undergoes the legislative process and once finalized and signed by the president, it becomes the GAA. Throughout the year, the 2024 GAA raised eyebrows among lawmakers in the House of Representatives and the Senate. A major point of contention is the insertion of the P449.5 billion of unprogrammed funds into the 2024 GAA, in excess of the 2024 NEP.  The 2024 NEP only requested P281.9 billion. Hontiveros also asked Poe if she would introduce a provision that funds for projects certified by the National Economic and Development Authority (NEDA) as priorities would not be diverted into unprogrammed funds. Budgets for several major items in the 2024 GAA were left in limbo after being redirected to unprogrammed funds. Some of these include the MRT LINE 4 Project, and the Metro Manila Subway Project. In principle, Poe agreed with Hontiveros, but the former offered no assurance. Poe said that she would look into it, particularly the projects under the Department of Public Works and Highways. “At the right time, all of us will have the chance to give suggestions whether these funds will be increased or decreased,” Poe said in Filipino. Another provision in the 2024 GAA that was raised was the line allowing the Department of Finance (DOF) to order the transfer of idle funds back into the national treasuries. The DOF ordered the return of P89.9 billion worth of idle Philhealth funds in three tranches back to the national coffers, much to the protest of several lawmakers and medical advocates. The matter has been brought to the Supreme Court, which has issued a temporary restraining order (TRO) against the final tranche. During the plenary session, Poe was questioned about the implications of this TRO. Poe said that the DOF will already comply with whatever the Supreme Court orders, but clarifies that the TRO does not mean that the previous two tranches will be returned. She said the final tranche is P30 billion. The said P30 billion was meant to fund transportation items but Poe said that the budget for these items has been put on hold following the TRO. However, Poe also said that these items could be funded by the national budget in the coming years. While it was ordered to transfer back funds, Philhealth has seemingly not been left wanting, with excess funds amounting to P500 billion. Senate President Francis Escudero also questioned Poe and the economic managers on their position on this excess. “Any surplus, while it may look good on the books, is actually money not well spent,” Escudero said. He added that with inflation on the rise, the value of that P500 billion could further depreciate if not used. Escudero also said that the value lowers by P20 billion a year. In a separate statement, Escudero said that the P500 billion could be used for climate change mitigation measures.",https://www.philstar.com/headlines/2024/11/07/2398381/senate-must-have-safeguard-vs-unconstitutional-items-2025-budget-says-lawmaker
